month,monthly_total,layoff_events
2020-01,3608,36
2020-02,2288,31
2020-03,11719,129
2020-04,17290,115
2020-05,16674,61
2020-06,9363,38
2020-07,10672,34
2020-08,3393,29
2020-09,2027,19
2020-10,941,16
2020-11,973,13
2020-12,2050,11
2021-01,8392,11
2021-02,2400,3
2021-03,87,1
2021-04,114,4
2021-05,1822,2
2021-06,1960,2
2021-07,80,2
2021-08,67,2
2021-09,531,5
2021-11,70,2
2021-12,300,1
2022-01,4372,48
2022-02,5099,46
2022-03,5984,42
2022-04,8864,57
2022-05,8778,69
2022-06,15907,146
2022-07,16384,134
2022-08,17831,103
2022-09,22857,102
2022-10,16247,92
2022-11,29378,134
2022-12,8960,57
2023-01,63378,169
2023-02,21498,92
2023-03,1323,12
2023-04,16171,8
2023-05,1067,16
2023-06,9269,18
2023-07,2222,7
2023-08,1384,12
2023-09,3756,15
2023-10,2531,19
2023-11,1646,13
2023-12,1432,16
